author;link;relevant;how;requirements;ind;hier;similarity;skillclass;identified skillclass;skill;identified skill;primitive;identified primitive;parametrizedskill;identified parametrizedskill;task;identified task;request;identified request;process;identified process;arch;impl;param;paramtype
Andersen(2017);https://www.sciencedirect.com/science/article/pii/S2351978917304171?via%3Dihub;Y;scopus3-2017;7, 8;X;-;STD;-;-;Skill, Parameterisable action;Listening skill, Call skill, Drive To skill, Pick up object, Place object;Primitives;Device primitives;-;-;Task;Replacing the tray assembly module and camera calibration;-;-;Process;Part-feeding process;X;ROS;-;-
Koch(2017);https://www.sciencedirect.com/science/article/pii/S2351978917303451?via%3Dihub;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Basso(2017);https://www.sciencedirect.com/science/article/pii/S2351978917303268?via%3Dihub;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nagy(2017);https://link.springer.com/chapter/10.1007%2F978-3-319-57351-9_43;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
No author;https://www.scopus.com/record/display.uri?eid=2-s2.0-85013250239&origin=resultslist&sort=plf-f&src=s&sid=8179314c7e29838361302013fdb6ef3a&sot=a&sdt=a&cluster=scopubyr%2c%222017%22%2ct&sl=79&s=TITLE-ABS-KEY+%28+robot+w%2f15+skill+AND+%28+industrial+OR+manufacturing+%29+AND+task+%29&relpos=21&citeCnt=0&searchTerm=;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Crosby(2017) II.;http://ceur-ws.org/Vol-1782/paper_1.pdf;Y;scopus3-2017;7, 8;X;X;AUT;-;-;Skill;-;Primitives;-;-;Parameterised specifications;Task;Kitting, assembly tasks;-;-;Process;Planning process, creating process, process of iterating;X;SkiROS;-;-
Nagata(2017);https://link.springer.com/chapter/10.1007%2F978-3-319-31293-4_46;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gu(2015);https://ieeexplore.ieee.org/document/7353476;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ceriani(2015);https://ieeexplore.ieee.org/document/7102768;Y;scopus3-2015;2, 6;X;-;STD;-;-;Skill, single action;Peg-in-hole;-;-;-;-;Task;Posture control;-;-;-;-;-;-;-;-
Pedersen(2015);https://link.springer.com/article/10.1007%2Fs10846-015-0219-x;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Verner(2015);https://ieeexplore.ieee.org/document/7318216;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Foit(2015);https://iopscience.iop.org/article/10.1088/1757-899X/95/1/012107;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jha(2015);https://dl.acm.org/doi/pdf/10.1145/2783449.2783464;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rovida(2015);https://ieeexplore.ieee.org/document/7125585;Y;scopus3-2015;8;X;X;STD;-;-;Skills, re-occuring actions;Pick and place;Primitives;Motion primitives;-;-;Task, sequence of skills;-;Request;-;Process;Programming;X;ROS, SkiROS;-;-
Andersen(2015);https://ieeexplore.ieee.org/document/7125587;Y;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rukshan(2015);https://ieeexplore.ieee.org/document/7112340;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wang(2015);https://ieeexplore.ieee.org/document/7060735;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Navarro-Gonzales(2015);https://www.sciencedirect.com/science/article/abs/pii/S073658451400074X?via%3Dihub;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stenmark(2015);https://www.sciencedirect.com/science/article/abs/pii/S073658451400060X?via%3Dihub;Y;scopus3-2015;10;X;X;STD;Skill Classification;SIARAS ontology;Skill;Manipulation and handling skills;Primitive functions;-;Parameterized skills;Task consistancy checking;Task;Manipulation tasks, sensing;-;-;Process;Production;X;Rosetta;-;-
Cencen(2015);https://link.springer.com/chapter/10.1007%2F978-3-319-25554-5_14;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stenmark(2015);http://ceur-ws.org/Vol-1540/paper_05.pdf;Y;scopus3-2015;6;X;-;STD;-;-;Skill;Pick, move to fix, pick, switch, retract, snapFitSkill;Primitive actions, primitives;-;Parametrized Skills;Specifying controller, reference frames, velocity values;Task;Localize and pick task;-;-;Process;-;-;-;-;-
Markowitz (2015);http://ceur-ws.org/Vol-1540/paper_05.pdf;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Scuturici(2015);https://link.springer.com/chapter/10.1007/978-3-319-23201-0_5;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Verner(2015);https://www.researchgate.net/profile/Igor-Verner/publication/282155281_Robotics_Laboratory_Classes_for_Spatial_Training_of_Novice_Engineering_Students/links/5605613b08ae8e08c08c014e/Robotics-Laboratory-Classes-for-Spatial-Training-of-Novice-Engineering-Students.pdf;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ramos(2015);https://ieeexplore.ieee.org/document/7024290;N;scopus3-2015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
